,url,title,year,mileage,transmission,color,description,volume,engine,acceleration,fuel,price
0,/car/detail-zoadyirk-samand-lx-ef7-1394,سمند، LX,1394,"116,700 km",دنده ای,آبی / داخل کرم,"به نام خداوند بزرگ: 
ماشین ازهرنظر سالم ودرحد صفر است .داذای کارت معاینه فنی بدنه، رنگ ،موتور ،شاسی ،وغیره کاملا سالم، تسمه تایم،تسمه دینام،روغن موتور، ضدیخ وهمه مصرفیها اخیرا تعویض شده .
تک سند ازابتدا دست خودم بوده است.
توضیحات بیشتر وتخفیف درحدامکان حضوری یاتلفنی به مشتری واقعی ارائه میشود ان شاءالله
ضمنادارای بیمه شخص ثالث یک سال تمام میباشد.",1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"540,000,000"
1,/car/detail-92lk4hdm-samand-lx-ef7-1394,سمند، LX,1394,"157,500 km",دنده ای,سفید / داخل بژ,"درب سمت راننده تعویض 
بیمه ۶ ماه
شاسی و ستون پلمپ",1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"415,000,000"
2,/car/detail-7hgwmokz-samand-lx-ef7cng-1399,سمند، LX,1399,صفر کیلومتر,دنده ای,سفید / داخل کرم,"کارکرد از نمایندگی تا منزل
بدون خط و خش
داخل پارکینگ مسقف نگهداری شده
مخزن گاز بزرگ آبی،کیت بوش
سند دست اول به نام خودم 
مدارک آماده انتقال",1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"720,000,000"
3,/car/detail-mjuqnpt8-samand-lx-basic-1398,سمند، LX,1398,"100,000 km",دنده ای,سفید / داخل خاکی,"مصرف خانگی 
کاملاسالم و بدون خرج 
دزدگیر 
پاور شیشه 
کف پوش 
روکش 
تسمه تایم و شمع و وایر به تازگی تعویض شده 
9 ماه بیمه 
بیمه بدنه",1.8 لیتر,4 سیلندر XU7,13.1 ثانیه,8.3 لیتر در صد کیلومتر,"490,000,000"
4,/car/detail-ovicjnym-samand-lx-ef7-1395,سمند، LX,1395,"350,000 km",دنده ای,سرمه ای / داخل کرم,"ماشین از صفر دست خودم بوده ،در دو ماه گذشته 92میلیون خرج تعمیر اساسی شده در نمایندگی ایران خودرو (فاکتور ها موجوده)
موتور تعمیر اساسی ، دیسک و صفحه ،تسمه تایم ، چهار تا کمک جلو و عقب ، بلبرینگ چرخ و...
معاینه فنی بهمن ماه
بیمه مهر ماه 
اسب زین کرده است.",1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"430,000,000"
5,/car/detail-iefn5hhp-samand-lx-basic-1399,سمند، LX,1399,"73,000 km",دنده ای,سفید / داخل کرم,,1.8 لیتر,4 سیلندر XU7,13.1 ثانیه,8.3 لیتر در صد کیلومتر,"515,000,000"
6,/car/detail-qtnieuht-samand-lx-ef7-1394,سمند، LX,1394,"440,000 km",دنده ای,سفید / داخل خاکستری,,1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"385,000,000"
7,/car/detail-huetwosj-samand-lx-ef7-1392,سمند، LX,1392,"240,000 km",دنده ای,مشکی / داخل طوسی,"✓ شاسی پلمپ
✓  (صافکاری بدون رنگ)
✓ موتور پلمپ و کاملا سر حال
✓ ECU زیمنس
✓ مدل ۹۲، ۹۳ بهترین مدل های EF7 هست (ماشین شناس ها می دونن چی میگم)
لطفا خریدار واقعی و کسی که ماشین رو می شناسه تماس بگیره.
✓✓✓به خریدار واقعی تخفیف جزئی میدم✓✓✓",1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"365,000,000"
8,/car/detail-f20xhwbt-samand-lx-ef7cng-1400,سمند، LX,1400,"82,500 km",دنده ای,نارنجی / داخل کرم,"تاکسی کاملا خانگی 
بدون خط و‌خش ضربه
زاپاس باز‌نشده
بیمه یکسال
روکش چرم کفی ،شیشه دودی
کیلومتر واقعی بشرط دیاگ
مصرفی ها تعویض شده
بدون یک ریال خرج",1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"599,000,000"
9,/car/detail-umiqtkbr-samand-lx-basic-1398,سمند، LX,1398,"99,000 km",دنده ای,سفید / داخل مشکی,با سلام.سمند .داشبورد مشکی.فوق العاده سالم,1.8 لیتر,4 سیلندر XU7,13.1 ثانیه,8.3 لیتر در صد کیلومتر,"510,000,000"
